Curso,Unidade de execução,Turno,Turma,Inscritos no turno (no 1º semestre é baseado em estimativas),Turnos com capacidade superior à capacidade das características das salas,Turno com inscrições superiores à capacidade das salas,Dia da Semana,Início,Fim,Dia,Características da sala pedida para a aula,Sala da aula,Lotação,Características reais da sala
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,0,0,,11:00:00,12:30:00,,,,,
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,0,0,,11:00:00,12:30:00,,,,,
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,0,0,,11:00:00,12:30:00,,,,,
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,0,0,,11:00:00,12:30:00,,,,,
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,0,0,,11:00:00,12:30:00,,,,,
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,0,0,,11:00:00,12:30:00,,,,,
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,0,0,,11:00:00,12:30:00,,,,,
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,0,0,,11:00:00,12:30:00,,,,,
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,0,0,,11:00:00,12:30:00,,,,,
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,0,0,,11:00:00,12:30:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,14:30:00,16:00:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,14:30:00,16:00:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,14:30:00,16:00:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,14:30:00,16:00:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,14:30:00,16:00:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,14:30:00,16:00:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,14:30:00,16:00:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,14:30:00,16:00:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,14:30:00,16:00:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,14:30:00,16:00:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,14:30:00,16:00:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,14:30:00,16:00:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,16:00:00,17:30:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,16:00:00,17:30:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,16:00:00,17:30:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,16:00:00,17:30:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,16:00:00,17:30:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,16:00:00,17:30:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,16:00:00,17:30:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,16:00:00,17:30:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,16:00:00,17:30:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,16:00:00,17:30:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,16:00:00,17:30:00,,,,,
LFC,Gestão do Marketing,L1805PL02,FCA3,32,0,0,,16:00:00,17:30:00,,,,,
MPSS,Saúde e Processos de Grupo,01148-1TP02,MPSSA1,17,0,0,,20:00:00,22:00:00,,,,,
MPSS,Saúde e Processos de Grupo,01148-1TP02,MPSSA1,17,0,0,,20:00:00,22:00:00,,,,,
MPSS,Saúde e Processos de Grupo,01148-1TP02,MPSSA1,17,0,0,,18:00:00,20:00:00,,,,,
MPSS,Saúde e Processos de Grupo,01148-1TP02,MPSSA1,17,0,0,,20:00:00,22:00:00,,,,,
MPSS,Saúde e Processos de Grupo,01148-1TP02,MPSSA1,17,0,0,,20:00:00,22:00:00,,,,,
MPSS,Saúde e Processos de Grupo,01148-1TP02,MPSSA1,17,0,0,,20:00:00,22:00:00,,,,,
MPSS,Saúde e Processos de Grupo,01148-1TP02,MPSSA1,17,0,0,,20:00:00,22:00:00,,,,,
MPSS,Saúde e Processos de Grupo,01148-1TP02,MPSSA1,17,0,0,,20:00:00,22:00:00,,,,,
MPSS,Saúde e Processos de Grupo,01148-1TP02,MPSSA1,17,0,0,,18:00:00,20:00:00,,,,,
MPSS,Saúde e Processos de Grupo,01148-1TP02,MPSSA1,17,0,0,,18:00:00,20:00:00,,,,,
MPSS,Saúde e Processos de Grupo,01148-1TP02,MPSSA1,17,0,0,,18:00:00,20:00:00,,,,,
MPSS,Saúde e Processos de Grupo,01148-1TP02,MPSSA1,17,0,0,,18:00:00,20:00:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,16:00:00,17:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,16:00:00,17:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,16:00:00,17:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,16:00:00,17:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,16:00:00,17:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,16:00:00,17:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,16:00:00,17:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,16:00:00,17:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,16:00:00,17:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,16:00:00,17:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,16:00:00,17:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,16:00:00,17:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,14:30:00,16:00:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,14:30:00,16:00:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,14:30:00,16:00:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,14:30:00,16:00:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,14:30:00,16:00:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,14:30:00,16:00:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,14:30:00,16:00:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,14:30:00,16:00:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,14:30:00,16:00:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,14:30:00,16:00:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,14:30:00,16:00:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,14:30:00,16:00:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,13:00:00,14:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,13:00:00,14:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,13:00:00,14:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,13:00:00,14:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,13:00:00,14:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,13:00:00,14:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,13:00:00,14:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,13:00:00,14:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,13:00:00,14:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,13:00:00,14:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,13:00:00,14:30:00,,,,,
LCP,Laboratório de Elaboração de Projectos em Ciência Política,00488PL01,CPC1,38,1,0,,13:00:00,14:30:00,,,,,
DHESD,"Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I",02480S01,DHESDA1,18,1,0,,18:00:00,20:00:00,,,,,
DHESD,"Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I",02480S01,DHESDA1,18,1,0,,18:00:00,20:00:00,,,,,
DHESD,"Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I",02480S01,DHESDA1,18,1,0,,18:00:00,20:00:00,,,,,
DHESD,"Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I",02480S01,DHESDA1,18,1,0,,18:00:00,20:00:00,,,,,
DHESD,"Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I",02480S01,DHESDA1,18,1,0,,18:00:00,20:00:00,,,,,
DHESD,"Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I",02480S01,DHESDA1,18,1,0,,18:00:00,20:00:00,,,,,
DHESD,"Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I",02480S01,DHESDA1,18,1,0,,18:00:00,20:00:00,,,,,
DHESD,"Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I",02480S01,DHESDA1,18,1,0,,18:00:00,20:00:00,,,,,
DHESD,"Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I",02480S01,DHESDA1,18,1,0,,18:00:00,20:00:00,,,,,
"MAE, MCP, MCTRL, MCCTI, MES, MEECult, MEA, MEInt, MGEC, MPP, MSS, MS",Pesquisa de Terreno,M8109TP02,"MSocB1, MPPB1, MCPB1, MAEB1, MEIB1, MSB1, MSSB1",35,0,0,,18:00:00,20:00:00,,,,,
"MAE, MCP, MCTRL, MCCTI, MES, MEECult, MEA, MEInt, MGEC, MPP, MSS, MS",Pesquisa de Terreno,M8109TP02,"MSocB1, MPPB1, MCPB1, MAEB1, MEIB1, MSB1, MSSB1",35,0,0,,18:00:00,20:00:00,,,,,
"MAE, MCP, MCTRL, MCCTI, MES, MEECult, MEA, MEInt, MGEC, MPP, MSS, MS",Pesquisa de Terreno,M8109TP02,"MSocB1, MPPB1, MCPB1, MAEB1, MEIB1, MSB1, MSSB1",35,0,0,,18:00:00,20:00:00,,,,,
"MAE, MCP, MCTRL, MCCTI, MES, MEECult, MEA, MEInt, MGEC, MPP, MSS, MS",Pesquisa de Terreno,M8109TP02,"MSocB1, MPPB1, MCPB1, MAEB1, MEIB1, MSB1, MSSB1",35,0,0,,18:00:00,20:00:00,,,,,
"MAE, MCP, MCTRL, MCCTI, MES, MEECult, MEA, MEInt, MGEC, MPP, MSS, MS",Pesquisa de Terreno,M8109TP02,"MSocB1, MPPB1, MCPB1, MAEB1, MEIB1, MSB1, MSSB1",35,0,0,,18:00:00,20:00:00,,,,,
"MAE, MCP, MCTRL, MCCTI, MES, MEECult, MEA, MEInt, MGEC, MPP, MSS, MS",Pesquisa de Terreno,M8109TP02,"MSocB1, MPPB1, MCPB1, MAEB1, MEIB1, MSB1, MSSB1",35,0,0,,18:00:00,20:00:00,,,,,
"MAE, MCP, MCTRL, MCCTI, MES, MEECult, MEA, MEInt, MGEC, MPP, MSS, MS",Pesquisa de Terreno,M8109TP02,"MSocB1, MPPB1, MCPB1, MAEB1, MEIB1, MSB1, MSSB1",35,0,0,,18:00:00,20:00:00,,,,,
"MAE, MCP, MCTRL, MCCTI, MES, MEECult, MEA, MEInt, MGEC, MPP, MSS, MS",Pesquisa de Terreno,M8109TP02,"MSocB1, MPPB1, MCPB1, MAEB1, MEIB1, MSB1, MSSB1",35,0,0,,18:00:00,20:00:00,,,,,
"MAE, MCP, MCTRL, MCCTI, MES, MEECult, MEA, MEInt, MGEC, MPP, MSS, MS",Pesquisa de Terreno,M8109TP02,"MSocB1, MPPB1, MCPB1, MAEB1, MEIB1, MSB1, MSSB1",35,0,0,,18:00:00,20:00:00,,,,,
"MAE, MCP, MCTRL, MCCTI, MES, MEECult, MEA, MEInt, MGEC, MPP, MSS, MS",Pesquisa de Terreno,M8109TP02,"MSocB1, MPPB1, MCPB1, MAEB1, MEIB1, MSB1, MSSB1",35,0,0,,18:00:00,20:00:00,,,,,
PGSRL,Práticas de Negociação e Gestão de Conflitos,00784-1TP01,PG-SRLA1,17,0,0,,20:30:00,22:30:00,,,,,
PGSRL,Práticas de Negociação e Gestão de Conflitos,00784-1TP01,PG-SRLA1,17,0,0,,18:00:00,20:00:00,,,,,
PGSRL,Práticas de Negociação e Gestão de Conflitos,00784-1TP01,PG-SRLA1,17,0,0,,20:30:00,22:30:00,,,,,
PGSRL,Práticas de Negociação e Gestão de Conflitos,00784-1TP01,PG-SRLA1,17,0,0,,18:00:00,20:00:00,,,,,
PGSRL,Práticas de Negociação e Gestão de Conflitos,00784-1TP01,PG-SRLA1,17,0,0,,20:30:00,22:30:00,,,,,
PGSRL,Práticas de Negociação e Gestão de Conflitos,00784-1TP01,PG-SRLA1,17,0,0,,20:30:00,22:30:00,,,,,
PGSRL,Práticas de Negociação e Gestão de Conflitos,00784-1TP01,PG-SRLA1,17,0,0,,18:00:00,20:00:00,,,,,
PGSRL,Práticas de Negociação e Gestão de Conflitos,00784-1TP01,PG-SRLA1,17,0,0,,18:00:00,20:00:00,,,,,
PGSRL,Práticas de Negociação e Gestão de Conflitos,00784-1TP01,PG-SRLA1,17,0,0,,20:30:00,22:30:00,,,,,
PGSRL,Práticas de Negociação e Gestão de Conflitos,00784-1TP01,PG-SRLA1,17,0,0,,18:00:00,20:00:00,,,,,
226,Programação Web (Iefp),02999TP02,B,25,0,0,,11:00:00,13:00:00,,,,,
226,Programação Web (Iefp),02999TP02,B,25,0,0,,11:00:00,13:00:00,,,,,
226,Programação Web (Iefp),02999TP02,B,25,0,0,,11:00:00,13:00:00,,,,,
226,Programação Web (Iefp),02999TP02,B,25,0,0,,11:00:00,13:00:00,,,,,
226,Programação Web (Iefp),02999TP02,B,25,0,0,,11:00:00,13:00:00,,,,,
226,Programação Web (Iefp),02999TP02,B,25,0,0,,11:00:00,13:00:00,,,,,
226,Programação Web (Iefp),02999TP02,B,25,0,0,,11:00:00,13:00:00,,,,,
226,Programação Web (Iefp),02999TP02,B,25,0,0,,11:00:00,13:00:00,,,,,
226,Programação Web (Iefp),02999TP02,B,25,0,0,,11:00:00,13:00:00,,,,,
226,Programação Web (Iefp),02999TP02,B,25,0,0,,11:00:00,13:00:00,,,,,
226,Finanças e Contabilidade de Empresas,03009TP01,D,22,0,0,,14:00:00,16:00:00,,,,,
226,Finanças e Contabilidade de Empresas,03009TP01,D,22,0,0,,14:00:00,16:00:00,,,,,
226,Finanças e Contabilidade de Empresas,03009TP01,D,22,0,0,,14:00:00,16:00:00,,,,,
226,Finanças e Contabilidade de Empresas,03009TP01,D,22,0,0,,14:00:00,16:00:00,,,,,
LHMC,Sistemas de Informação: Bibliotecas e Arquivos,00277T01,HMCA1,45,0,0,,16:00:00,17:30:00,,,,,
LHMC,Sistemas de Informação: Bibliotecas e Arquivos,00277T01,HMCA1,45,0,0,,16:00:00,17:30:00,,,,,
LHMC,Sistemas de Informação: Bibliotecas e Arquivos,00277T01,HMCA1,45,0,0,,14:30:00,16:00:00,,,,,
LHMC,Sistemas de Informação: Bibliotecas e Arquivos,00277T01,HMCA1,45,0,0,,14:30:00,16:00:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MG,Contabilidade Avançada,M8488TP03,MGA2,36,0,0,,8:00:00,9:30:00,,,,,
MS,"Globalização, Justiça Social e Direitos Humanos",01627TP01,"MSocA1, MSA1",8,0,0,,20:30:00,22:30:00,,,,,
MS,"Globalização, Justiça Social e Direitos Humanos",01627TP01,"MSocA1, MSA1",8,0,0,,20:30:00,22:30:00,,,,,
MS,"Globalização, Justiça Social e Direitos Humanos",01627TP01,"MSocA1, MSA1",8,0,0,,20:30:00,22:30:00,,,,,
MS,"Globalização, Justiça Social e Direitos Humanos",01627TP01,"MSocA1, MSA1",8,0,0,,20:30:00,22:30:00,,,,,
MS,"Globalização, Justiça Social e Direitos Humanos",01627TP01,"MSocA1, MSA1",8,0,0,,20:30:00,22:30:00,,,,,
MS,"Globalização, Justiça Social e Direitos Humanos",01627TP01,"MSocA1, MSA1",8,0,0,,20:30:00,22:30:00,,,,,
MS,"Globalização, Justiça Social e Direitos Humanos",01627TP01,"MSocA1, MSA1",8,0,0,,20:30:00,22:30:00,,,,,
MS,"Globalização, Justiça Social e Direitos Humanos",01627TP01,"MSocA1, MSA1",8,0,0,,20:30:00,22:30:00,,,,,
MS,"Globalização, Justiça Social e Direitos Humanos",01627TP01,"MSocA1, MSA1",8,0,0,,20:30:00,22:30:00,,,,,
MS,"Globalização, Justiça Social e Direitos Humanos",01627TP01,"MSocA1, MSA1",8,0,0,,20:30:00,22:30:00,,,,,
LP,Percepção de Pessoas e Relações Interpessoais,L5211T01,"PC4, PC3, PC2, PC1",15,0,0,,9:30:00,11:00:00,,,,,
LP,Percepção de Pessoas e Relações Interpessoais,L5211T01,"PC4, PC3, PC2, PC1",15,0,0,,9:30:00,11:00:00,,,,,
LP,Percepção de Pessoas e Relações Interpessoais,L5211T01,"PC4, PC3, PC2, PC1",15,0,0,,9:30:00,11:00:00,,,,,
LP,Percepção de Pessoas e Relações Interpessoais,L5211T01,"PC4, PC3, PC2, PC1",15,0,0,,9:30:00,11:00:00,,,,,
LP,Percepção de Pessoas e Relações Interpessoais,L5211T01,"PC4, PC3, PC2, PC1",15,0,0,,9:30:00,11:00:00,,,,,
LP,Percepção de Pessoas e Relações Interpessoais,L5211T01,"PC4, PC3, PC2, PC1",15,0,0,,9:30:00,11:00:00,,,,,
LP,Percepção de Pessoas e Relações Interpessoais,L5211T01,"PC4, PC3, PC2, PC1",15,0,0,,9:30:00,11:00:00,,,,,
LP,Percepção de Pessoas e Relações Interpessoais,L5211T01,"PC4, PC3, PC2, PC1",15,0,0,,9:30:00,11:00:00,,,,,
226,Introdução à Programação (Iefp),02996TP02,B,25,0,0,,9:00:00,11:00:00,,,,,
226,Introdução à Programação (Iefp),02996TP02,B,25,0,0,,9:00:00,11:00:00,,,,,
226,Introdução à Programação (Iefp),02996TP02,B,25,0,0,,9:00:00,11:00:00,,,,,
226,Introdução à Programação (Iefp),02996TP02,B,25,0,0,,9:00:00,11:00:00,,,,,
226,Introdução à Programação (Iefp),02996TP02,B,25,0,0,,9:00:00,11:00:00,,,,,
226,Introdução à Programação (Iefp),02996TP02,B,25,0,0,,9:00:00,11:00:00,,,,,
226,Introdução à Programação (Iefp),02996TP02,B,25,0,0,,9:00:00,11:00:00,,,,,
226,Introdução à Programação (Iefp),02996TP02,B,25,0,0,,9:00:00,11:00:00,,,,,
226,Introdução à Programação (Iefp),02996TP02,B,25,0,0,,9:00:00,11:00:00,,,,,
226,Introdução à Programação (Iefp),02996TP02,B,25,0,0,,9:00:00,11:00:00,,,,,
DPP,Metodologias em Políticas Públicas: o Método Comparativo,00961S01,DPPA1,21,0,0,,20:30:00,22:30:00,,,,,
DPP,Metodologias em Políticas Públicas: o Método Comparativo,00961S01,DPPA1,21,0,0,,18:00:00,20:00:00,,,,,
DPP,Metodologias em Políticas Públicas: o Método Comparativo,00961S01,DPPA1,21,0,0,,18:00:00,20:00:00,,,,,
DPP,Metodologias em Políticas Públicas: o Método Comparativo,00961S01,DPPA1,21,0,0,,18:00:00,20:00:00,,,,,
DPP,Metodologias em Políticas Públicas: o Método Comparativo,00961S01,DPPA1,21,0,0,,18:00:00,20:00:00,,,,,
DPP,Metodologias em Políticas Públicas: o Método Comparativo,00961S01,DPPA1,21,0,0,,18:00:00,20:00:00,,,,,
DPP,Metodologias em Políticas Públicas: o Método Comparativo,00961S01,DPPA1,21,0,0,,18:00:00,20:00:00,,,,,
DPP,Metodologias em Políticas Públicas: o Método Comparativo,00961S01,DPPA1,21,0,0,,18:00:00,20:00:00,,,,,
"LETI, LEI, LIGE",Programação Concorrente e Distribuída,L5096-4TP06,"ETB4, ETB3",60,1,1,,14:30:00,16:00:00,,,,,
"LETI, LEI, LIGE",Programação Concorrente e Distribuída,L5096-4TP06,"ETB4, ETB3",60,1,1,,14:30:00,16:00:00,,,,,
"LETI, LEI, LIGE",Programação Concorrente e Distribuída,L5096-4TP06,"ETB4, ETB3",60,1,1,,14:30:00,16:00:00,,,,,
"LETI, LEI, LIGE",Programação Concorrente e Distribuída,L5096-4TP06,"ETB4, ETB3",60,1,1,,14:30:00,16:00:00,,,,,
"LETI, LEI, LIGE",Programação Concorrente e Distribuída,L5096-4TP06,"ETB4, ETB3",60,1,1,,14:30:00,16:00:00,,,,,
"LETI, LEI, LIGE",Programação Concorrente e Distribuída,L5096-4TP06,"ETB4, ETB3",60,1,1,,14:30:00,16:00:00,,,,,
"LETI, LEI, LIGE",Programação Concorrente e Distribuída,L5096-4TP06,"ETB4, ETB3",60,1,1,,14:30:00,16:00:00,,,,,
"LETI, LEI, LIGE",Programação Concorrente e Distribuída,L5096-4TP06,"ETB4, ETB3",60,1,1,,14:30:00,16:00:00,,,,,
"LETI, LEI, LIGE",Programação Concorrente e Distribuída,L5096-4TP06,"ETB4, ETB3",60,1,1,,14:30:00,16:00:00,,,,,
"LETI, LEI, LIGE",Programação Concorrente e Distribuída,L5096-4TP06,"ETB4, ETB3",60,1,1,,14:30:00,16:00:00,,,,,
"LETI, LEI, LIGE",Programação Concorrente e Distribuída,L5096-4TP06,"ETB4, ETB3",60,1,1,,14:30:00,16:00:00,,,,,
"LETI, LEI, LIGE",Programação Concorrente e Distribuída,L5096-4TP06,"ETB4, ETB3",60,1,1,,14:30:00,16:00:00,,,,,
"LETI, LEI, LIGE",Programação Concorrente e Distribuída,L5096-4TP06,"ETB4, ETB3",60,1,1,,13:00:00,14:30:00,,,,,
